"Scenario","Model","Metric","N","Mean_advantage","Median_advantage","ANN_better","Equal","GBLUP_better"
"C1","ANN_0","Genetic_Correlation",25,-0.146145824777418,-0.152817002426703,0,0,25
"C1","ANN_0","Genetic_RMSE",25,-0.271174792215815,-0.280637662399286,0,0,25
"C1","ANN_0","Genetic_MAE",25,-0.203656342990568,-0.217688217266517,0,0,25
"C1","ANN_0","Genetic_Bias",25,-0.0569699426475449,-0.0503431302890813,7,0,18
"C1","ANN_0","Genetic_Slope",25,-0.0899866298272311,-0.118952432145917,4,0,21
"C1","ANN_0","Genetic_R2",25,-0.210362938369379,-0.216559077350327,0,0,25
"C1","ANN_0","Phenotype_Correlation",25,-0.126881054118885,-0.130866970323788,0,0,25
"C1","ANN_0","Phenotype_RMSE",25,-0.209151580824946,-0.215927919813675,0,0,25
"C1","ANN_0","Phenotype_MAE",25,-0.166716602617667,-0.160782245247918,0,0,25
"C1","ANN_0","Phenotype_Bias",25,-0.0579533270092976,-0.0639903191112454,6,0,19
"C1","ANN_0","Phenotype_Slope",25,-0.0768876289086626,-0.113195791055354,7,0,18
"C1","ANN_0","Phenotype_R2",25,-0.154186627186713,-0.157054581344685,0,0,25
"C2","ANN_0","Genetic_Correlation",25,-0.0276757326005763,-0.0187315584861067,1,0,24
"C2","ANN_0","Genetic_RMSE",25,-0.0492818953413225,-0.0431134907534049,0,0,25
"C2","ANN_0","Genetic_MAE",25,-0.0375990785988959,-0.0265617045327077,0,0,25
"C2","ANN_0","Genetic_Bias",25,-0.0333021459832912,-0.0203935934009593,7,0,18
"C2","ANN_0","Genetic_Slope",25,-0.128389772945596,-0.106767409198429,4,0,21
"C2","ANN_0","Genetic_R2",25,-0.0712816967750663,-0.0565225731177248,0,0,25
"C2","ANN_0","Phenotype_Correlation",25,-0.022409445282732,-0.0208700320735216,2,0,23
"C2","ANN_0","Phenotype_RMSE",25,-0.0360375885833248,-0.0290606196973141,0,0,25
"C2","ANN_0","Phenotype_MAE",25,-0.0321286762804376,-0.0258255510990391,1,0,24
"C2","ANN_0","Phenotype_Bias",25,-0.0295445488488001,-0.0177234412644044,6,0,19
"C2","ANN_0","Phenotype_Slope",25,-0.11909359867539,-0.101649374679787,5,0,20
"C2","ANN_0","Phenotype_R2",25,-0.0539606723850061,-0.0417530020067342,0,0,25
"C3","ANN_0","Genetic_Correlation",25,-0.0160736727274289,-0.0149898183881065,6,0,19
"C3","ANN_0","Genetic_RMSE",25,-0.0360906259321316,-0.0336015539178036,3,0,22
"C3","ANN_0","Genetic_MAE",25,-0.0292602438079651,-0.0338664248211201,3,0,22
"C3","ANN_0","Genetic_Bias",25,-0.0532172144730211,-0.0251728265544725,3,0,22
"C3","ANN_0","Genetic_Slope",25,-0.112662547763703,-0.0822209125336145,5,0,20
"C3","ANN_0","Genetic_R2",25,-0.0667230212778822,-0.0591218083229604,3,0,22
"C3","ANN_0","Phenotype_Correlation",25,-0.00995771844265194,-0.0091850715823778,8,0,17
"C3","ANN_0","Phenotype_RMSE",25,-0.0227628201452159,-0.0277470359441754,6,0,19
"C3","ANN_0","Phenotype_MAE",25,-0.0157555265476307,-0.011823465383318,6,0,19
"C3","ANN_0","Phenotype_Bias",25,-0.0498556191590052,-0.0260083778401623,5,0,20
"C3","ANN_0","Phenotype_Slope",25,-0.113385140964857,-0.0798436164201271,3,0,22
"C3","ANN_0","Phenotype_R2",25,-0.0422699234483333,-0.0468163822748834,6,0,19
"C4","ANN_0","Genetic_Correlation",25,-0.0284580507799211,-0.0229493736336068,1,0,24
"C4","ANN_0","Genetic_RMSE",25,-0.0485256567906376,-0.0358288016642411,0,0,25
"C4","ANN_0","Genetic_MAE",25,-0.0395909463911619,-0.0294356820006259,0,0,25
"C4","ANN_0","Genetic_Bias",25,-0.0315589527451252,-0.0018695827132229,11,0,14
"C4","ANN_0","Genetic_Slope",25,-0.132149747489295,-0.117470975345482,4,0,21
"C4","ANN_0","Genetic_R2",25,-0.0964374652243251,-0.0620413780526461,0,0,25
"C4","ANN_0","Phenotype_Correlation",25,-0.0175807809505117,-0.0200804554643863,4,0,21
"C4","ANN_0","Phenotype_RMSE",25,-0.0210958873039481,-0.0224373380245404,2,0,23
"C4","ANN_0","Phenotype_MAE",25,-0.0149922143545976,-0.0157725521755742,3,0,22
"C4","ANN_0","Phenotype_Bias",25,-0.0229504309173204,-0.00565552459494441,11,0,14
"C4","ANN_0","Phenotype_Slope",25,-0.0968950214799489,-0.0617243178836137,8,0,17
"C4","ANN_0","Phenotype_R2",25,-0.0415965760075719,-0.0432902344049976,2,0,23
"C5","ANN_0","Genetic_Correlation",25,-0.0110973994398257,-0.000445995811583444,12,0,13
"C5","ANN_0","Genetic_RMSE",25,-0.0289731036426394,-0.0295147098469177,5,0,20
"C5","ANN_0","Genetic_MAE",25,-0.0195797668602176,-0.0176418777627322,5,0,20
"C5","ANN_0","Genetic_Bias",25,-0.0260544034854919,-0.00973930872953467,7,0,18
"C5","ANN_0","Genetic_Slope",25,-0.133383948712244,-0.148045443910188,0,0,25
"C5","ANN_0","Genetic_R2",25,-0.0698324528845926,-0.0629610933322554,5,0,20
"C5","ANN_0","Phenotype_Correlation",25,-0.00662984208632111,-0.00434345333636471,11,0,14
"C5","ANN_0","Phenotype_RMSE",25,-0.0115100289528174,-0.0105314129873871,6,0,19
"C5","ANN_0","Phenotype_MAE",25,-0.00921798482402085,-0.00646847473856227,6,0,19
"C5","ANN_0","Phenotype_Bias",25,-0.0176470938675888,-0.00910116341431562,7,0,18
"C5","ANN_0","Phenotype_Slope",25,-0.0791781804273916,-0.0932195958818738,5,0,20
"C5","ANN_0","Phenotype_R2",25,-0.0255671164135669,-0.0224695968697102,6,0,19
"C6","ANN_0","Genetic_Correlation",25,-0.0185324713679337,-0.012986498722298,7,0,18
"C6","ANN_0","Genetic_RMSE",25,-0.0339634329572593,-0.0262053779185601,4,0,21
"C6","ANN_0","Genetic_MAE",25,-0.0263770806811227,-0.0235550888237263,4,0,21
"C6","ANN_0","Genetic_Bias",25,-0.0355454921194467,-0.0295897558033803,5,0,20
"C6","ANN_0","Genetic_Slope",25,-0.0732731009114525,-0.0774194557524801,5,0,20
"C6","ANN_0","Genetic_R2",25,-0.0797933028089495,-0.0579559783218956,4,0,21
"C6","ANN_0","Phenotype_Correlation",25,-0.0115889933440319,-0.0105052679872473,6,0,19
"C6","ANN_0","Phenotype_RMSE",25,-0.0127609574396977,-0.0120258929976558,4,0,21
"C6","ANN_0","Phenotype_MAE",25,-0.00783872048192017,-0.00807507165224608,6,0,19
"C6","ANN_0","Phenotype_Bias",25,-0.023981202589712,-0.0271744274145917,7,0,18
"C6","ANN_0","Phenotype_Slope",25,-0.0663185425331069,-0.045891621549071,9,0,16
"C6","ANN_0","Phenotype_R2",25,-0.0323696020466658,-0.0301645375912938,4,0,21
"C1","ANN_L1","Genetic_Correlation",25,-0.0463469173298274,-0.0437839190169741,5,0,20
"C1","ANN_L1","Genetic_RMSE",25,-0.0931696012799211,-0.095867832300685,5,0,20
"C1","ANN_L1","Genetic_MAE",25,-0.0676559191743683,-0.0707861077641407,5,0,20
"C1","ANN_L1","Genetic_Bias",25,-0.0439793602496265,-0.0217211994434421,11,0,14
"C1","ANN_L1","Genetic_Slope",25,-0.0626761983332813,-0.04740930495845,6,0,19
"C1","ANN_L1","Genetic_R2",25,-0.0707954972000745,-0.0673128221439542,5,0,20
"C1","ANN_L1","Phenotype_Correlation",25,-0.0366333991296545,-0.0393736368854887,5,0,20
"C1","ANN_L1","Phenotype_RMSE",25,-0.065763020804865,-0.0622859337912272,4,0,21
"C1","ANN_L1","Phenotype_MAE",25,-0.0550429168122249,-0.0347071691779854,6,0,19
"C1","ANN_L1","Phenotype_Bias",25,-0.0523151964857484,-0.0323285210821794,8,0,17
"C1","ANN_L1","Phenotype_Slope",25,-0.0408803016625935,-0.0360182923541861,9,0,16
"C1","ANN_L1","Phenotype_R2",25,-0.047038176926649,-0.0455798353326698,4,0,21
"C2","ANN_L1","Genetic_Correlation",25,-0.0272184030217039,-0.0196617202711427,1,0,24
"C2","ANN_L1","Genetic_RMSE",25,-0.0464919693035671,-0.0428637795679632,0,0,25
"C2","ANN_L1","Genetic_MAE",25,-0.0369511643382739,-0.0357606457356294,0,0,25
"C2","ANN_L1","Genetic_Bias",25,-0.0301914812846916,-0.0230986199387854,8,0,17
"C2","ANN_L1","Genetic_Slope",25,-0.11757410498265,-0.0955812899957426,4,0,21
"C2","ANN_L1","Genetic_R2",25,-0.0669559126447082,-0.0680203870160276,0,0,25
"C2","ANN_L1","Phenotype_Correlation",25,-0.0211671964341025,-0.0169002196001925,2,0,23
"C2","ANN_L1","Phenotype_RMSE",25,-0.0321326499292256,-0.0250543320287595,2,0,23
"C2","ANN_L1","Phenotype_MAE",25,-0.0285260290383567,-0.0239933084902739,1,0,24
"C2","ANN_L1","Phenotype_Bias",25,-0.0253470522360415,-0.020465900612157,9,0,16
"C2","ANN_L1","Phenotype_Slope",25,-0.110911329946628,-0.0852251330909791,4,0,21
"C2","ANN_L1","Phenotype_R2",25,-0.0483056328239526,-0.0345684122942893,2,0,23
"C3","ANN_L1","Genetic_Correlation",25,-0.0169710955065491,-0.0124677605017991,7,0,18
"C3","ANN_L1","Genetic_RMSE",25,-0.0334281306552952,-0.0337511795357125,4,0,21
"C3","ANN_L1","Genetic_MAE",25,-0.0273363926169752,-0.0230722991103946,3,0,22
"C3","ANN_L1","Genetic_Bias",25,-0.0385250351741085,-0.0181969457522568,5,0,20
"C3","ANN_L1","Genetic_Slope",25,-0.118326244103965,-0.0714262634194208,3,0,22
"C3","ANN_L1","Genetic_R2",25,-0.0613939207883683,-0.0583094045701941,4,0,21
"C3","ANN_L1","Phenotype_Correlation",25,-0.0108432734210199,-0.0112296124058665,8,0,17
"C3","ANN_L1","Phenotype_RMSE",25,-0.0217699332690863,-0.0145986317147887,5,0,20
"C3","ANN_L1","Phenotype_MAE",25,-0.0143775660975534,-0.0129497942839171,5,0,20
"C3","ANN_L1","Phenotype_Bias",25,-0.0362716987529022,-0.0154977326465939,8,0,17
"C3","ANN_L1","Phenotype_Slope",25,-0.116813462744107,-0.0869709941031193,3,0,22
