"Model","Metric","N","Mean_ANN","Mean_GBLUP","Mean_raw_difference","Median_raw_difference","Mean_performance_advantage","Median_performance_advantage","ANN_better","Equal","GBLUP_better"
"ANN_0","Genetic_Correlation",150,0.784831878807485,0.826162404089669,-0.041330525282184,-0.0217618885168022,-0.041330525282184,-0.0217618885168022,27,0,123
"ANN_0","Genetic_RMSE",150,0.585962097094636,0.507960512614668,0.0780015844799676,0.0449924383074789,-0.0780015844799676,-0.0449924383074789,12,0,138
"ANN_0","Genetic_MAE",150,0.468731968773878,0.409388058885557,0.0593439098883218,0.0349048213927435,-0.0593439098883218,-0.0349048213927435,12,0,138
"ANN_0","Genetic_Bias",150,-0.0159280222161753,0.00235654204903253,-0.0182845642652078,-0.0171504143647749,-0.0394413585756535,-0.0242192495925311,40,0,110
"ANN_0","Genetic_Slope",150,0.950526246417453,1.0195453940478,-0.0690191476303507,-0.129788023898501,-0.111640957941587,-0.0972666712995492,22,0,128
"ANN_0","Genetic_R2",150,0.581153965622235,0.680225778512268,-0.0990718128900325,-0.0851442081770185,-0.0990718128900325,-0.0851442081770185,12,0,138
"ANN_0","Phenotype_Correlation",150,0.537394059967086,0.569902032337942,-0.0325079723708557,-0.0202429111270844,-0.0325079723708557,-0.0202429111270844,31,0,119
"ANN_0","Phenotype_RMSE",150,0.959576623238905,0.907356812697247,0.0522198105416583,0.022812978930091,-0.0522198105416583,-0.022812978930091,18,0,132
"ANN_0","Phenotype_MAE",150,0.773661115240534,0.732552827722822,0.0411082875177123,0.0189514296222061,-0.0411082875177123,-0.0189514296222061,22,0,128
"ANN_0","Phenotype_Bias",150,-0.0159282055495084,0.0023563587156994,-0.0182845642652078,-0.0171504143647749,-0.0336553703986207,-0.0198005538017522,42,0,108
"ANN_0","Phenotype_Slope",150,0.931953475429018,0.997740145825021,-0.0657866703960037,-0.117702818592713,-0.0919596854982263,-0.0833857898828279,37,0,113
"ANN_0","Phenotype_R2",150,0.263453010892499,0.321778097140475,-0.0583250862479762,-0.04339384158163,-0.0583250862479762,-0.04339384158163,18,0,132
"ANN_L1","Genetic_Correlation",150,0.80105056833302,0.826162404089669,-0.0251118357566495,-0.0196377353772696,-0.0251118357566495,-0.0196377353772696,31,0,119
"ANN_L1","Genetic_RMSE",150,0.554066286225128,0.507960512614668,0.0461057736104599,0.0341148460607186,-0.0461057736104599,-0.0341148460607186,16,0,134
"ANN_L1","Genetic_MAE",150,0.444755523371932,0.409388058885557,0.0353674644863756,0.0261852077329719,-0.0353674644863756,-0.0261852077329719,16,0,134
"ANN_L1","Genetic_Bias",150,-0.017871276914532,0.00235654204903253,-0.0202278189635645,-0.0172162972656991,-0.0323845540737483,-0.017288818827282,49,0,101
"ANN_L1","Genetic_Slope",150,1.03537073068609,1.0195453940478,0.0158253366382857,-0.0536198885983472,-0.10800645498219,-0.0875148355060409,27,0,123
"ANN_L1","Genetic_R2",150,0.609185785047884,0.680225778512268,-0.0710399934643834,-0.0622750545332472,-0.0710399934643834,-0.0622750545332472,16,0,134
