"Dataset","Scenario","QTL_N","H2_nominal","Repetition","Fold","SplitID","TaskID","Model","Architecture","Learning_rate","L1","L2","Best_epoch","Epoch_Last","Epoch_Stopped_by_patience","Epoch_Hit_ceiling","Inner_RMSE","Inner_Correlation","Inner_MAE","N_train","N_test","N_pred_finite","N_zero_variance_markers","Genetic_Correlation","Genetic_RMSE","Genetic_MAE","Genetic_Bias","Genetic_Slope","Genetic_R2","Phenotype_Correlation","Phenotype_RMSE","Phenotype_MAE","Phenotype_Bias","Phenotype_Slope","Phenotype_R2","Epoch_selection_seconds","Final_fit_seconds","Predict_seconds","Status","Error"
"simulated","C1",8,0.7,1,1,"R01_F01","C1_R01_F01","ANN_0","64-32",0.000125,0,0,26,51,TRUE,FALSE,2.07525142364321,0.422560471613441,1.65289643705861,800,200,200,0,0.673068720024746,1.47685499745342,1.21527069396396,0.0686947232774371,1.06423001124328,0.450181779957534,0.537906356378364,1.98598225773854,1.61489854868874,0.199620723277437,1.00090942193452,0.28208979272597,0.92,0.28,0.0200000000000005,"ok",NA
"simulated","C1",8,0.7,1,1,"R01_F01","C1_R01_F01","ANN_L1","64-32",0.000125,0.01,0,575,600,TRUE,FALSE,1.92397120306557,0.525040976747405,1.54062716399686,800,200,200,0,0.701287274512341,1.42301589794161,1.15100252181451,0.0855405618211739,1.03012938087721,0.489538587615135,0.567453457560898,1.94225911121194,1.59936328639447,0.216466561821174,0.980930118657292,0.313352671951473,7.75,5.45,0,"ok",NA
"simulated","C1",8,0.7,1,1,"R01_F01","C1_R01_F01","ANN_L2","64-32",0.000125,0,1e-04,26,51,TRUE,FALSE,2.05143526246192,0.446483440049285,1.63462511156991,800,200,200,0,0.674598908902363,1.4739708528433,1.21066566321816,0.0632632203863424,1.06606367604477,0.452327158956629,0.537394309057697,1.98620511540117,1.61506652746058,0.194189220386343,0.99940744765448,0.281928662618276,0.740000000000002,0.259999999999998,0.0199999999999996,"ok",NA
"simulated","C1",8,0.7,1,1,"R01_F01","C1_R01_F01","ANN_L1_L2","64-32",0.000125,0.01,1e-05,569,594,TRUE,FALSE,1.9242635380235,0.526052731359195,1.54193278947481,800,200,200,0,0.701599136204092,1.42257283707315,1.15092322931901,0.0863569583623211,1.03309077660262,0.489856405944947,0.568447613064744,1.94068586768017,1.59694327615277,0.217282958362321,0.985035523420705,0.314464599758353,9.62,7.61000000000001,0.00999999999999801,"ok",NA
"simulated","C1",8,0.7,1,2,"R01_F02","C1_R01_F02","ANN_0","32-16",0.000125,0,0,47,72,TRUE,FALSE,2.1031072109568,0.439892037863894,1.67485075787876,800,200,200,0,0.572103217335861,1.63143661839025,1.33252846304954,0.178464882471225,0.80524150958552,0.299776410127502,0.436432332385756,2.03150772237701,1.59534538446976,0.194589882471225,0.692222371140969,0.144973880045388,1.04,0.41,0,"ok",NA
"simulated","C1",8,0.7,1,2,"R01_F02","C1_R01_F02","ANN_L1","32-16",0.000125,0.01,0,766,791,TRUE,FALSE,2.01897612975181,0.526710479461729,1.62165445432383,800,200,200,0,0.654928431578826,1.49398814873081,1.21704161411971,0.1764145293442,0.88017431482631,0.412793802774308,0.507856538326966,1.93161134165427,1.55304734022175,0.192539529344199,0.76911776710112,0.226995681005687,10.14,6.81,0,"ok",NA
"simulated","C1",8,0.7,1,2,"R01_F02","C1_R01_F02","ANN_L2","32-16",0.000125,0,0.01,43,68,TRUE,FALSE,2.11017216266791,0.428940853053794,1.68330479953267,800,200,200,0,0.57480690197116,1.61858016222698,1.32028191370429,0.156302586073035,0.833383400266439,0.310769080422032,0.439973924992002,2.01621202763462,1.58610484798537,0.172427586073035,0.718830936361021,0.157800790726162,0.93,0.390000000000001,0,"ok",NA
"simulated","C1",8,0.7,1,2,"R01_F02","C1_R01_F02","ANN_L1_L2","32-16",0.000125,0.01,0.001,825,850,TRUE,FALSE,2.02017830564839,0.524473826970341,1.6234454573719,800,200,200,0,0.655207327645766,1.49470969721476,1.2150695786053,0.167784461001159,0.869537444276168,0.412226462186016,0.509508358361134,1.93128328868613,1.55594978822626,0.183909461001159,0.761969880806868,0.227258223290454,10.36,7.91,0,"ok",NA
"simulated","C1",8,0.7,1,3,"R01_F03","C1_R01_F03","ANN_0","64-32",0.000125,0,0,43,68,TRUE,FALSE,2.05506043279664,0.44702489071105,1.63078102328037,800,200,200,0,0.585099860930431,1.64309888600831,1.34249955074478,-0.261672540403186,0.991241580157337,0.325200646076852,0.506361036145011,2.08272319403607,1.65412907897362,-0.363654540403186,1.01986837470986,0.232918152314081,0.920000000000002,0.440000000000005,0,"ok",NA
"simulated","C1",8,0.7,1,3,"R01_F03","C1_R01_F03","ANN_L1","64-32",0.000125,0.01,0,969,994,TRUE,FALSE,1.95457338176262,0.5140790323082,1.56574473802424,800,200,200,0,0.565319972236508,1.66692838261381,1.36345434035308,-0.222677926027689,0.93189036618249,0.305485786170505,0.514182786697063,2.0652584273503,1.67035641800941,-0.324659926027689,1.00767934186235,0.245729010106054,15.09,12.2,0,"ok",NA
