"Model","CandidateID","Architecture","Learning_rate","L1","L2","Inner_folds_ok","Mean_RMSE","Mean_Correlation","Mean_MAE","Median_EarlyStop_epoch","Max_Last_epoch","N_epoch_ceiling","Status","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_0",1,"2",0.000125,0,0,4,2.23587520000154,0.380514695568555,1.78370197831972,33.5,231,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",2,"4",0.000125,0,0,4,2.16623744826297,0.378581067678697,1.73883527433482,22,63,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",3,"8",0.000125,0,0,4,2.12549326292072,0.414083025330087,1.69811673052192,17,92,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",4,"16",0.000125,0,0,4,2.09610573003478,0.417873714638488,1.66364497570287,17,49,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",5,"32",0.000125,0,0,4,2.09252882007726,0.427038190503294,1.67541038312164,16,64,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",6,"8-4",0.000125,0,0,4,2.20667553820006,0.382789333766705,1.77394250398009,59,95,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",7,"16-8",0.000125,0,0,4,2.09440834476444,0.435187992856412,1.66714848366854,39.5,86,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",8,"32-16",0.000125,0,0,4,2.08328171301403,0.418552319252868,1.65764787427974,29,67,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",9,"64-32",0.000125,0,0,4,2.07525142364321,0.422560471613441,1.65289643705861,16,46,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",10,"2",0.00025,0,0,4,2.25614819055012,0.385757640729647,1.80481985837695,35,146,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",11,"4",0.00025,0,0,4,2.18245594390416,0.374101565480243,1.74836863695757,12,53,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",12,"8",0.00025,0,0,4,2.13602151695615,0.408498749606147,1.70207373693163,9.5,45,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",13,"16",0.00025,0,0,4,2.10059213981928,0.418332549209242,1.66366622740153,9.5,37,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",14,"32",0.00025,0,0,4,2.11590303689506,0.422412277295269,1.69475595695931,9,49,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",15,"8-4",0.00025,0,0,4,2.20719726806059,0.384341707781068,1.76956146234553,25.5,63,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",16,"16-8",0.00025,0,0,4,2.09498368029535,0.433003011424815,1.66819990861688,20,63,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",17,"32-16",0.00025,0,0,4,2.07945448563858,0.417951362889706,1.65564890393788,11,51,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",18,"64-32",0.00025,0,0,4,2.07942545667655,0.419313987172925,1.65291951915547,9,35,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",19,"2",5e-04,0,0,4,2.27185435616449,0.384727269274906,1.81967338475052,21.5,82,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",20,"4",5e-04,0,0,4,2.18820370010023,0.38397022258721,1.74642358844345,6.5,40,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",21,"8",5e-04,0,0,4,2.16639465801604,0.401348571468905,1.72807879603358,4.5,36,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",22,"16",5e-04,0,0,4,2.12096940696407,0.413520672770801,1.6778722185094,5,31,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",23,"32",5e-04,0,0,4,2.16032058454547,0.410172186040933,1.72633469203774,5,42,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",24,"8-4",5e-04,0,0,4,2.21508823820349,0.380486312740205,1.78136391875397,10.5,46,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
