"Scenario","Repetition","Fold","SplitID","TaskID","Model","Architecture","Learning_rate","L1","L2","Best_epoch","Last_epoch","Stopped_by_patience","Hit_epoch_ceiling","Validation_RMSE","Validation_Correlation","N_epoch_fit","N_epoch_validation","Fit_seconds"
"C1",1,1,"R01_F01","C1_R01_F01","ANN_0","64-32",0.000125,0,0,26,51,TRUE,FALSE,1.74638420878933,0.451200479899744,680,120,0.92
"C1",1,1,"R01_F01","C1_R01_F01","ANN_L1","64-32",0.000125,0.01,0,575,600,TRUE,FALSE,1.68320200747425,0.507140046046981,680,120,7.75
"C1",1,1,"R01_F01","C1_R01_F01","ANN_L2","64-32",0.000125,0,1e-04,26,51,TRUE,FALSE,1.74684898531932,0.450846890106094,680,120,0.740000000000002
"C1",1,1,"R01_F01","C1_R01_F01","ANN_L1_L2","64-32",0.000125,0.01,1e-05,569,594,TRUE,FALSE,1.68288969828134,0.507083012430457,680,120,9.62
"C1",1,2,"R01_F02","C1_R01_F02","ANN_0","32-16",0.000125,0,0,47,72,TRUE,FALSE,1.98668687027268,0.518162037919406,680,120,1.04
"C1",1,2,"R01_F02","C1_R01_F02","ANN_L1","32-16",0.000125,0.01,0,766,791,TRUE,FALSE,1.89254049377832,0.593919853336398,680,120,10.14
"C1",1,2,"R01_F02","C1_R01_F02","ANN_L2","32-16",0.000125,0,0.01,43,68,TRUE,FALSE,1.98431354691765,0.519593990430076,680,120,0.93
"C1",1,2,"R01_F02","C1_R01_F02","ANN_L1_L2","32-16",0.000125,0.01,0.001,825,850,TRUE,FALSE,1.89060056555213,0.593858396193725,680,120,10.36
"C1",1,3,"R01_F03","C1_R01_F03","ANN_0","64-32",0.000125,0,0,43,68,TRUE,FALSE,2.25758046478964,0.449183878027434,680,120,0.920000000000002
"C1",1,3,"R01_F03","C1_R01_F03","ANN_L1","64-32",0.000125,0.01,0,969,994,TRUE,FALSE,2.11436115185708,0.548894335136415,680,120,15.09
"C1",1,3,"R01_F03","C1_R01_F03","ANN_L2","64-32",0.000125,0,0.01,45,70,TRUE,FALSE,2.2507748347708,0.454107038643378,680,120,1.13
"C1",1,3,"R01_F03","C1_R01_F03","ANN_L1_L2","64-32",0.000125,0.01,0.001,878,903,TRUE,FALSE,2.12229188404536,0.545113838050742,680,120,12.86
"C1",1,4,"R01_F04","C1_R01_F04","ANN_0","64-32",0.00025,0,0,18,43,TRUE,FALSE,1.93038671618195,0.590982902209944,680,120,0.560000000000002
"C1",1,4,"R01_F04","C1_R01_F04","ANN_L1","64-32",0.00025,0.01,0,177,202,TRUE,FALSE,1.91289107038742,0.600248386146302,680,120,2.92
"C1",1,4,"R01_F04","C1_R01_F04","ANN_L2","64-32",0.00025,0,0.01,18,43,TRUE,FALSE,1.9297799067565,0.591414866211668,680,120,0.640000000000001
"C1",1,4,"R01_F04","C1_R01_F04","ANN_L1_L2","64-32",0.00025,0.01,0.001,178,203,TRUE,FALSE,1.91327622150257,0.59994812432875,680,120,2.87
"C1",1,5,"R01_F05","C1_R01_F05","ANN_0","16",0.000125,0,0,29,54,TRUE,FALSE,1.93488778780482,0.504097313990328,680,120,0.489999999999995
"C1",1,5,"R01_F05","C1_R01_F05","ANN_L1","16",0.000125,0.01,0,63,88,TRUE,FALSE,1.86297582095565,0.55370804552653,680,120,0.77000000000001
"C1",1,5,"R01_F05","C1_R01_F05","ANN_L2","16",0.000125,0,0.001,30,55,TRUE,FALSE,1.93396923798978,0.505646298090579,680,120,0.489999999999995
"C1",1,5,"R01_F05","C1_R01_F05","ANN_L1_L2","16",0.000125,0.01,1e-05,64,89,TRUE,FALSE,1.86287630926024,0.553721284859261,680,120,0.870000000000005
"C1",2,1,"R02_F01","C1_R02_F01","ANN_0","32",0.000125,0,0,32,57,TRUE,FALSE,2.11171044019861,0.468599210206514,680,120,0.620000000000005
"C1",2,1,"R02_F01","C1_R02_F01","ANN_L1","32",0.000125,0.01,0,592,617,TRUE,FALSE,1.85729540908512,0.628449047204541,680,120,7.21999999999998
"C1",2,1,"R02_F01","C1_R02_F01","ANN_L2","32",0.000125,0,1e-05,32,57,TRUE,FALSE,2.11195141614497,0.46847258116123,680,120,0.659999999999997
"C1",2,1,"R02_F01","C1_R02_F01","ANN_L1_L2","32",0.000125,0.01,0.01,457,482,TRUE,FALSE,1.86436447976746,0.628341287699753,680,120,7.05000000000001
"C1",2,2,"R02_F02","C1_R02_F02","ANN_0","64-32",0.000125,0,0,44,69,TRUE,FALSE,1.86919768873934,0.550278005699072,680,120,1.03
"C1",2,2,"R02_F02","C1_R02_F02","ANN_L1","64-32",0.000125,0.01,0,602,627,TRUE,FALSE,1.78930795326454,0.594559407342612,680,120,9.56
"C1",2,2,"R02_F02","C1_R02_F02","ANN_L2","64-32",0.000125,0,1e-04,52,77,TRUE,FALSE,1.86272314353377,0.558426309282922,680,120,1.14000000000001
"C1",2,2,"R02_F02","C1_R02_F02","ANN_L1_L2","64-32",0.000125,0.01,0.001,683,708,TRUE,FALSE,1.78211353991496,0.600332032025037,680,120,11.38
"C1",2,3,"R02_F03","C1_R02_F03","ANN_0","32-16",0.00025,0,0,10,35,TRUE,FALSE,2.14404067901376,0.3993722464562,680,120,0.610000000000014
"C1",2,3,"R02_F03","C1_R02_F03","ANN_L1","32-16",0.00025,0.01,0,152,177,TRUE,FALSE,1.99473549466429,0.534472019352751,680,120,2.81
"C1",2,3,"R02_F03","C1_R02_F03","ANN_L2","32-16",0.00025,0,0.001,10,35,TRUE,FALSE,2.14446914962798,0.399781436812173,680,120,0.419999999999987
"C1",2,3,"R02_F03","C1_R02_F03","ANN_L1_L2","32-16",0.00025,0.01,1e-05,155,180,TRUE,FALSE,1.99411619192416,0.535450108840894,680,120,2.44
"C1",2,4,"R02_F04","C1_R02_F04","ANN_0","64-32",0.000125,0,0,39,64,TRUE,FALSE,2.03209338233118,0.514783522401724,680,120,0.780000000000001
"C1",2,4,"R02_F04","C1_R02_F04","ANN_L1","64-32",0.000125,0.01,0,805,830,TRUE,FALSE,1.81518668261452,0.638342979009439,680,120,10.98
"C1",2,4,"R02_F04","C1_R02_F04","ANN_L2","64-32",0.000125,0,0.001,38,63,TRUE,FALSE,2.03632311080987,0.51186625563817,680,120,0.810000000000002
"C1",2,4,"R02_F04","C1_R02_F04","ANN_L1_L2","64-32",0.000125,0.01,1e-04,791,816,TRUE,FALSE,1.81472914055922,0.639049572501132,680,120,10.85
"C1",2,5,"R02_F05","C1_R02_F05","ANN_0","64-32",0.000125,0,0,49,74,TRUE,FALSE,1.98329254540033,0.53642446243672,680,120,0.79000000000002
"C1",2,5,"R02_F05","C1_R02_F05","ANN_L1","64-32",0.000125,0.01,0,562,587,TRUE,FALSE,1.90981271685706,0.574730543084023,680,120,7.31999999999999
"C1",2,5,"R02_F05","C1_R02_F05","ANN_L2","64-32",0.000125,0,0.01,51,76,TRUE,FALSE,1.98147602598176,0.538064993368659,680,120,0.829999999999984
"C1",2,5,"R02_F05","C1_R02_F05","ANN_L1_L2","64-32",0.000125,0.01,1e-05,521,546,TRUE,FALSE,1.9105053867369,0.575332678691779,680,120,6.18000000000001
"C1",3,1,"R03_F01","C1_R03_F01","ANN_0","32",0.000125,0,0,22,47,TRUE,FALSE,2.05218849163027,0.522162786167824,680,120,0.71
"C1",3,1,"R03_F01","C1_R03_F01","ANN_L1","32",0.000125,0.01,0,2019,2044,TRUE,FALSE,1.71051778842773,0.711022932434722,680,120,22.67
"C1",3,1,"R03_F01","C1_R03_F01","ANN_L2","32",0.000125,0,0.001,22,47,TRUE,FALSE,2.05447662937361,0.52065078222904,680,120,0.480000000000004
"C1",3,1,"R03_F01","C1_R03_F01","ANN_L1_L2","32",0.000125,0.01,1e-04,1908,1933,TRUE,FALSE,1.7355229822135,0.70037262584036,680,120,22.38
"C1",3,2,"R03_F02","C1_R03_F02","ANN_0","64-32",0.000125,0,0,18,43,TRUE,FALSE,2.0482756672263,0.522607140927554,680,120,0.490000000000009
"C1",3,2,"R03_F02","C1_R03_F02","ANN_L1","64-32",0.000125,0.01,0,412,437,TRUE,FALSE,2.02350578385473,0.554220336484127,680,120,5.16000000000003
"C1",3,2,"R03_F02","C1_R03_F02","ANN_L2","64-32",0.000125,0,0.01,18,43,TRUE,FALSE,2.04934928590405,0.522135374303769,680,120,0.410000000000025
"C1",3,2,"R03_F02","C1_R03_F02","ANN_L1_L2","64-32",0.000125,0.01,1e-04,413,438,TRUE,FALSE,2.02388925435815,0.554048829918354,680,120,4.85000000000002
"C1",3,3,"R03_F03","C1_R03_F03","ANN_0","32",0.000125,0,0,27,52,TRUE,FALSE,2.02083812313972,0.483142482873156,680,120,0.379999999999995
