"Model","CandidateID","Architecture","Learning_rate","L1","L2","InnerFold","RMSE","Correlation","MAE","EarlyStop_epoch","Last_epoch","Stopped_by_patience","Hit_epoch_ceiling","Fit_seconds","Prediction_seconds","Status","Error","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_0",1,"2",0.000125,0,0,1,2.09247486689913,0.420837099560959,1.64488370710972,27,52,TRUE,FALSE,0.7,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",1,"2",0.000125,0,0,2,2.26984651868769,0.338808360856398,1.82704192605982,37,62,TRUE,FALSE,0.52,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",1,"2",0.000125,0,0,3,2.29757652348042,0.442511855842086,1.85652677178273,206,231,TRUE,FALSE,1.9,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",1,"2",0.000125,0,0,4,2.28360289093892,0.319901466014776,1.80635550832662,30,55,TRUE,FALSE,0.67,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",2,"4",0.000125,0,0,1,2.17790490853138,0.422935402352966,1.71604779912329,38,63,TRUE,FALSE,0.59,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",2,"4",0.000125,0,0,2,2.08014996601093,0.364387373853426,1.70255375950944,16,41,TRUE,FALSE,0.34,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",2,"4",0.000125,0,0,3,2.29506923053119,0.390931127886439,1.85921970400719,28,53,TRUE,FALSE,0.5,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",2,"4",0.000125,0,0,4,2.11182568797837,0.336070366621958,1.67751983469934,15,40,TRUE,FALSE,0.370000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",3,"8",0.000125,0,0,1,2.10732854988436,0.462766612482937,1.67684095547412,67,92,TRUE,FALSE,0.789999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",3,"8",0.000125,0,0,2,2.08672606765896,0.373876768508226,1.67248840252918,14,39,TRUE,FALSE,0.32,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",3,"8",0.000125,0,0,3,2.18355626909319,0.431753844213355,1.75368944323348,18,43,TRUE,FALSE,0.359999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",3,"8",0.000125,0,0,4,2.12436216504636,0.387934876115829,1.6894481208509,16,41,TRUE,FALSE,0.34,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",4,"16",0.000125,0,0,1,2.03414519131233,0.477391697904105,1.5773140879309,22,47,TRUE,FALSE,0.390000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",4,"16",0.000125,0,0,2,2.14625840717676,0.350003345695507,1.74418638048514,24,49,TRUE,FALSE,0.380000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",4,"16",0.000125,0,0,3,2.19005081659055,0.430065963853129,1.74030607968202,12,37,TRUE,FALSE,0.300000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",4,"16",0.000125,0,0,4,2.01396850505949,0.414033851101211,1.59277335471344,6,31,TRUE,FALSE,0.25,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",5,"32",0.000125,0,0,1,2.02284999589266,0.495811860291247,1.58139363836226,39,64,TRUE,FALSE,0.5,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",5,"32",0.000125,0,0,2,2.09555765134601,0.385531142332653,1.68015144847303,16,41,TRUE,FALSE,0.35,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",5,"32",0.000125,0,0,3,2.20331985080746,0.429362800211127,1.77332259959325,11,36,TRUE,FALSE,0.309999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",5,"32",0.000125,0,0,4,2.04838778226292,0.397446959178148,1.666773846058,16,41,TRUE,FALSE,0.299999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",6,"8-4",0.000125,0,0,1,2.0400739822635,0.452846849150277,1.63469215548914,66,91,TRUE,FALSE,1.12,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",6,"8-4",0.000125,0,0,2,2.20717080523384,0.360758992222184,1.76750997788672,70,95,TRUE,FALSE,1.2,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",6,"8-4",0.000125,0,0,3,2.50924339717962,0.362587633917474,2.02361234441309,52,77,TRUE,FALSE,0.859999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",6,"8-4",0.000125,0,0,4,2.0702139681233,0.354963859776887,1.66995553813141,29,54,TRUE,FALSE,0.59,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",7,"16-8",0.000125,0,0,1,2.03818362084583,0.482079760931474,1.59972298502399,38,63,TRUE,FALSE,1.28,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",7,"16-8",0.000125,0,0,2,2.1089835931238,0.345985386051752,1.70605664757124,33,58,TRUE,FALSE,0.699999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",7,"16-8",0.000125,0,0,3,2.14743490378398,0.463565141717961,1.70756892054019,41,66,TRUE,FALSE,0.710000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",7,"16-8",0.000125,0,0,4,2.08303126130416,0.449121682724461,1.65524538153874,61,86,TRUE,FALSE,1.05,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",8,"32-16",0.000125,0,0,1,2.00712981508149,0.48804225396374,1.58106267410276,42,67,TRUE,FALSE,0.93,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",8,"32-16",0.000125,0,0,2,2.15689599431536,0.320748939292269,1.72141350244465,32,57,TRUE,FALSE,0.68,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",8,"32-16",0.000125,0,0,3,2.18295257785002,0.434408051129793,1.74504804015268,19,44,TRUE,FALSE,0.5,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",8,"32-16",0.000125,0,0,4,1.98614846480926,0.43101003262567,1.58306728041888,26,51,TRUE,FALSE,0.59,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",9,"64-32",0.000125,0,0,1,1.99834784234829,0.491632029763714,1.58638644016657,18,43,TRUE,FALSE,0.469999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",9,"64-32",0.000125,0,0,2,2.10438676040554,0.326703855296781,1.68151181794844,21,46,TRUE,FALSE,0.52,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",9,"64-32",0.000125,0,0,3,2.16592811430544,0.452124695300238,1.73841177577744,14,39,TRUE,FALSE,0.43,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",9,"64-32",0.000125,0,0,4,2.03234297751357,0.419781306093033,1.60527571434198,12,37,TRUE,FALSE,0.41,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",10,"2",0.00025,0,0,1,2.10687485104557,0.411138509402698,1.65966301939272,12,37,TRUE,FALSE,0.32,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",10,"2",0.00025,0,0,2,2.31383213503752,0.350188447290543,1.86502303325124,21,46,TRUE,FALSE,0.390000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",10,"2",0.00025,0,0,3,2.2883358640797,0.445293722413017,1.84831352518394,121,146,TRUE,FALSE,1.32,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",10,"2",0.00025,0,0,4,2.31554991203768,0.336409883812328,1.84627985567989,49,74,TRUE,FALSE,0.690000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",11,"4",0.00025,0,0,1,2.21308760570188,0.395696618269312,1.74474524117575,28,53,TRUE,FALSE,0.529999999999998,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",11,"4",0.00025,0,0,2,2.09313455135535,0.372808735284726,1.70558670761095,9,34,TRUE,FALSE,0.310000000000002,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",11,"4",0.00025,0,0,3,2.30575923957468,0.389614697910597,1.85768591078208,15,40,TRUE,FALSE,0.359999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",11,"4",0.00025,0,0,4,2.11784237898472,0.338286210456337,1.68545668826148,7,32,TRUE,FALSE,0.289999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",12,"8",0.00025,0,0,1,2.12837639969107,0.441823672288863,1.688557726896,20,45,TRUE,FALSE,0.380000000000003,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",12,"8",0.00025,0,0,2,2.10823518095509,0.3730641734911,1.69102828650321,7,32,TRUE,FALSE,0.280000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",12,"8",0.00025,0,0,3,2.18536581281946,0.431950717533976,1.74836460048144,10,35,TRUE,FALSE,0.280000000000001,0.019999999999996,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",12,"8",0.00025,0,0,4,2.12210867435899,0.387156435110649,1.68034433384587,9,34,TRUE,FALSE,0.329999999999998,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",13,"16",0.00025,0,0,1,2.03866125127501,0.471147715083156,1.57870204027503,12,37,TRUE,FALSE,0.32,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",13,"16",0.00025,0,0,2,2.15254907601785,0.35406204715842,1.74784210581247,12,37,TRUE,FALSE,0.300000000000004,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",13,"16",0.00025,0,0,3,2.1980542875133,0.434095017034966,1.73714803032853,7,32,TRUE,FALSE,0.390000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",13,"16",0.00025,0,0,4,2.01310394447095,0.414025417560427,1.59097273319008,3,28,TRUE,FALSE,0.240000000000002,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",14,"32",0.00025,0,0,1,2.0561380701902,0.488357667624489,1.61963256905548,24,49,TRUE,FALSE,0.420000000000002,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",14,"32",0.00025,0,0,2,2.12379128511548,0.380347452222815,1.69430347360177,9,34,TRUE,FALSE,0.32,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",14,"32",0.00025,0,0,3,2.2142768738837,0.429843991436825,1.77730977025237,6,31,TRUE,FALSE,0.280000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",14,"32",0.00025,0,0,4,2.06940591839084,0.391099997896947,1.68777801492762,9,34,TRUE,FALSE,0.300000000000004,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",15,"8-4",0.00025,0,0,1,2.05190928650595,0.445524507828041,1.63791790541669,24,49,TRUE,FALSE,0.609999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",15,"8-4",0.00025,0,0,2,2.2106237540008,0.361235073536587,1.76708613415613,38,63,TRUE,FALSE,0.759999999999998,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",15,"8-4",0.00025,0,0,3,2.50336466825257,0.364545890595128,2.01467993387091,27,52,TRUE,FALSE,0.660000000000004,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",15,"8-4",0.00025,0,0,4,2.06289136348305,0.366061359164515,1.6585618759384,16,41,TRUE,FALSE,0.549999999999997,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",16,"16-8",0.00025,0,0,1,2.04170754920774,0.47314580391442,1.59657552149955,21,46,TRUE,FALSE,0.539999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",16,"16-8",0.00025,0,0,2,2.13780870163576,0.335850207255197,1.73856430660359,17,42,TRUE,FALSE,0.539999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",16,"16-8",0.00025,0,0,3,2.13249746410832,0.47536923890357,1.69892924888562,19,44,TRUE,FALSE,0.579999999999998,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",16,"16-8",0.00025,0,0,4,2.06792100622958,0.447646795626074,1.63873055747875,38,63,TRUE,FALSE,0.660000000000004,0.00999999999999801,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",17,"32-16",0.00025,0,0,1,2.01072240376772,0.48728855356448,1.58067062464949,26,51,TRUE,FALSE,0.600000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",17,"32-16",0.00025,0,0,2,2.13098999689639,0.324621541520372,1.71580304735862,11,36,TRUE,FALSE,0.369999999999997,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",17,"32-16",0.00025,0,0,3,2.18882982925974,0.429678514290687,1.74676121068591,10,35,TRUE,FALSE,0.359999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",17,"32-16",0.00025,0,0,4,1.98727571263048,0.430216842183287,1.5793607330575,11,36,TRUE,FALSE,0.359999999999999,0.00999999999999801,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",18,"64-32",0.00025,0,0,1,1.99667804866926,0.488902873917706,1.58218462405768,10,35,TRUE,FALSE,0.359999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",18,"64-32",0.00025,0,0,2,2.11942308575555,0.316662186575601,1.69363118563716,10,35,TRUE,FALSE,0.32,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",18,"64-32",0.00025,0,0,3,2.16510771130323,0.452074923747667,1.72964244879039,8,33,TRUE,FALSE,0.359999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",18,"64-32",0.00025,0,0,4,2.03649298097816,0.419615964450727,1.60621981813667,6,31,TRUE,FALSE,0.339999999999996,0.0200000000000031,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",19,"2",5e-04,0,0,1,2.09170344854729,0.420586554197031,1.65754078817387,7,32,TRUE,FALSE,0.280000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
