"Model","Architecture","Learning_rate","L1","L2","Inner_RMSE","Inner_Correlation","Inner_MAE","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_0","64-32",0.000125,0,0,2.07525142364321,0.422560471613441,1.65289643705861,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1","64-32",0.000125,0.01,0,1.92397120306557,0.525040976747405,1.54062716399686,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L2","64-32",0.000125,0,1e-04,2.05143526246192,0.446483440049285,1.63462511156991,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2","64-32",0.000125,0.01,1e-05,1.9242635380235,0.526052731359195,1.54193278947481,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0","32-16",0.000125,0,0,2.1031072109568,0.439892037863894,1.67485075787876,"C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1","32-16",0.000125,0.01,0,2.01897612975181,0.526710479461729,1.62165445432383,"C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L2","32-16",0.000125,0,0.01,2.11017216266791,0.428940853053794,1.68330479953267,"C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2","32-16",0.000125,0.01,0.001,2.02017830564839,0.524473826970341,1.6234454573719,"C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0","64-32",0.000125,0,0,2.05506043279664,0.44702489071105,1.63078102328037,"C1",1,3,"R01_F03","C1_R01_F03"
"ANN_L1","64-32",0.000125,0.01,0,1.95457338176262,0.5140790323082,1.56574473802424,"C1",1,3,"R01_F03","C1_R01_F03"
"ANN_L2","64-32",0.000125,0,0.01,2.03404147544266,0.453221498268707,1.62903267923739,"C1",1,3,"R01_F03","C1_R01_F03"
"ANN_L1_L2","64-32",0.000125,0.01,0.001,1.95364287197859,0.514535862886607,1.56611386722562,"C1",1,3,"R01_F03","C1_R01_F03"
"ANN_0","64-32",0.00025,0,0,2.01447329937819,0.496964436500483,1.62485435095827,"C1",1,4,"R01_F04","C1_R01_F04"
"ANN_L1","64-32",0.00025,0.01,0,1.88952625837039,0.579079047505641,1.51940965286653,"C1",1,4,"R01_F04","C1_R01_F04"
"ANN_L2","64-32",0.00025,0,0.01,2.00008750543866,0.503980393304543,1.61079429282286,"C1",1,4,"R01_F04","C1_R01_F04"
"ANN_L1_L2","64-32",0.00025,0.01,0.001,1.88963188146866,0.579252017965285,1.51922010552388,"C1",1,4,"R01_F04","C1_R01_F04"
"ANN_0","16",0.000125,0,0,2.0069957271433,0.49728768176882,1.61339314148924,"C1",1,5,"R01_F05","C1_R01_F05"
"ANN_L1","16",0.000125,0.01,0,1.9495711176892,0.534097962712583,1.54855560394428,"C1",1,5,"R01_F05","C1_R01_F05"
"ANN_L2","16",0.000125,0,0.001,2.02944276399822,0.489206437280371,1.62335953070395,"C1",1,5,"R01_F05","C1_R01_F05"
"ANN_L1_L2","16",0.000125,0.01,1e-05,1.94915438421335,0.534446598719029,1.5492227523402,"C1",1,5,"R01_F05","C1_R01_F05"
"ANN_0","32",0.000125,0,0,2.02372017806539,0.464016674209056,1.63533979537261,"C1",2,1,"R02_F01","C1_R02_F01"
"ANN_L1","32",0.000125,0.01,0,1.92205927873747,0.542914749257876,1.55990403218103,"C1",2,1,"R02_F01","C1_R02_F01"
"ANN_L2","32",0.000125,0,1e-05,2.03321569893788,0.462373948226767,1.62981613403019,"C1",2,1,"R02_F01","C1_R02_F01"
"ANN_L1_L2","32",0.000125,0.01,0.01,1.92036420485027,0.544560320430576,1.55928495037329,"C1",2,1,"R02_F01","C1_R02_F01"
"ANN_0","64-32",0.000125,0,0,2.06323223713042,0.445527631796989,1.65905985171982,"C1",2,2,"R02_F02","C1_R02_F02"
"ANN_L1","64-32",0.000125,0.01,0,1.9401865516411,0.5379059156064,1.54841581304334,"C1",2,2,"R02_F02","C1_R02_F02"
"ANN_L2","64-32",0.000125,0,1e-04,2.04329935340305,0.454912884380744,1.62993813950386,"C1",2,2,"R02_F02","C1_R02_F02"
"ANN_L1_L2","64-32",0.000125,0.01,0.001,1.9393832334836,0.537647982262691,1.54762597323025,"C1",2,2,"R02_F02","C1_R02_F02"
"ANN_0","32-16",0.00025,0,0,2.00322075840554,0.488948987314764,1.60561274313974,"C1",2,3,"R02_F03","C1_R02_F03"
"ANN_L1","32-16",0.00025,0.01,0,1.85619316649509,0.587650520046783,1.48235049238187,"C1",2,3,"R02_F03","C1_R02_F03"
"ANN_L2","32-16",0.00025,0,0.001,2.04291732351277,0.466013263496476,1.6404809787577,"C1",2,3,"R02_F03","C1_R02_F03"
"ANN_L1_L2","32-16",0.00025,0.01,1e-05,1.85642399605508,0.587689841705253,1.48367771102111,"C1",2,3,"R02_F03","C1_R02_F03"
"ANN_0","64-32",0.000125,0,0,2.05996273793251,0.472594387054555,1.65502831264925,"C1",2,4,"R02_F04","C1_R02_F04"
"ANN_L1","64-32",0.000125,0.01,0,1.92164501239647,0.57160874090197,1.54397190583659,"C1",2,4,"R02_F04","C1_R02_F04"
"ANN_L2","64-32",0.000125,0,0.001,2.04644064375364,0.483166283530276,1.64165338548611,"C1",2,4,"R02_F04","C1_R02_F04"
"ANN_L1_L2","64-32",0.000125,0.01,1e-04,1.92123024596398,0.571815413468688,1.54351271807172,"C1",2,4,"R02_F04","C1_R02_F04"
"ANN_0","64-32",0.000125,0,0,2.01487156392046,0.484232860707533,1.61993271143938,"C1",2,5,"R02_F05","C1_R02_F05"
"ANN_L1","64-32",0.000125,0.01,0,1.91491908140511,0.55526414477021,1.5343527781145,"C1",2,5,"R02_F05","C1_R02_F05"
"ANN_L2","64-32",0.000125,0,0.01,2.03775802202078,0.476668350611705,1.62808452283583,"C1",2,5,"R02_F05","C1_R02_F05"
"ANN_L1_L2","64-32",0.000125,0.01,1e-05,1.91325738414694,0.557144270054225,1.53234115731221,"C1",2,5,"R02_F05","C1_R02_F05"
"ANN_0","32",0.000125,0,0,1.98697050030944,0.496212642199645,1.5731603049658,"C1",3,1,"R03_F01","C1_R03_F01"
"ANN_L1","32",0.000125,0.01,0,1.81246473491176,0.606475704372635,1.43622378777409,"C1",3,1,"R03_F01","C1_R03_F01"
"ANN_L2","32",0.000125,0,0.001,2.01058075808732,0.480534967720069,1.58412978169659,"C1",3,1,"R03_F01","C1_R03_F01"
"ANN_L1_L2","32",0.000125,0.01,1e-04,1.81539158944612,0.605308214265677,1.43809533371846,"C1",3,1,"R03_F01","C1_R03_F01"
