"Repetition","ID","OuterFold","SplitID"
1,1,3,"R01_F03"
1,2,4,"R01_F04"
1,3,5,"R01_F05"
1,4,4,"R01_F04"
1,5,2,"R01_F02"
1,6,3,"R01_F03"
1,7,2,"R01_F02"
1,8,3,"R01_F03"
1,9,3,"R01_F03"
1,10,5,"R01_F05"
1,11,4,"R01_F04"
1,12,5,"R01_F05"
1,13,1,"R01_F01"
1,14,2,"R01_F02"
1,15,2,"R01_F02"
1,16,1,"R01_F01"
1,17,4,"R01_F04"
1,18,2,"R01_F02"
1,19,3,"R01_F03"
1,20,5,"R01_F05"
1,21,3,"R01_F03"
1,22,5,"R01_F05"
1,23,1,"R01_F01"
1,24,2,"R01_F02"
1,25,1,"R01_F01"
1,26,5,"R01_F05"
1,27,1,"R01_F01"
1,28,1,"R01_F01"
1,29,3,"R01_F03"
1,30,4,"R01_F04"
1,31,1,"R01_F01"
1,32,4,"R01_F04"
1,33,1,"R01_F01"
1,34,3,"R01_F03"
1,35,3,"R01_F03"
1,36,4,"R01_F04"
1,37,1,"R01_F01"
1,38,2,"R01_F02"
1,39,2,"R01_F02"
1,40,3,"R01_F03"
1,41,4,"R01_F04"
1,42,2,"R01_F02"
1,43,2,"R01_F02"
1,44,2,"R01_F02"
1,45,4,"R01_F04"
1,46,3,"R01_F03"
1,47,4,"R01_F04"
1,48,2,"R01_F02"
1,49,4,"R01_F04"
1,50,4,"R01_F04"
1,51,2,"R01_F02"
1,52,2,"R01_F02"
1,53,3,"R01_F03"
1,54,5,"R01_F05"
1,55,5,"R01_F05"
1,56,4,"R01_F04"
1,57,1,"R01_F01"
1,58,3,"R01_F03"
1,59,5,"R01_F05"
1,60,3,"R01_F03"
1,61,2,"R01_F02"
1,62,5,"R01_F05"
1,63,1,"R01_F01"
1,64,3,"R01_F03"
1,65,5,"R01_F05"
1,66,5,"R01_F05"
1,67,3,"R01_F03"
1,68,1,"R01_F01"
1,69,4,"R01_F04"
1,70,3,"R01_F03"
1,71,2,"R01_F02"
1,72,4,"R01_F04"
1,73,3,"R01_F03"
1,74,2,"R01_F02"
1,75,2,"R01_F02"
1,76,1,"R01_F01"
1,77,3,"R01_F03"
1,78,4,"R01_F04"
1,79,3,"R01_F03"
1,80,4,"R01_F04"
1,81,3,"R01_F03"
1,82,1,"R01_F01"
1,83,5,"R01_F05"
1,84,1,"R01_F01"
1,85,3,"R01_F03"
1,86,2,"R01_F02"
1,87,1,"R01_F01"
1,88,3,"R01_F03"
1,89,3,"R01_F03"
1,90,1,"R01_F01"
1,91,3,"R01_F03"
1,92,3,"R01_F03"
1,93,4,"R01_F04"
1,94,1,"R01_F01"
1,95,4,"R01_F04"
1,96,3,"R01_F03"
1,97,5,"R01_F05"
1,98,2,"R01_F02"
1,99,2,"R01_F02"
1,100,4,"R01_F04"
1,101,1,"R01_F01"
1,102,4,"R01_F04"
1,103,3,"R01_F03"
1,104,1,"R01_F01"
1,105,5,"R01_F05"
1,106,5,"R01_F05"
1,107,1,"R01_F01"
1,108,2,"R01_F02"
1,109,3,"R01_F03"
1,110,1,"R01_F01"
1,111,1,"R01_F01"
1,112,3,"R01_F03"
1,113,2,"R01_F02"
1,114,3,"R01_F03"
1,115,5,"R01_F05"
1,116,1,"R01_F01"
1,117,5,"R01_F05"
1,118,4,"R01_F04"
1,119,2,"R01_F02"
1,120,5,"R01_F05"
1,121,1,"R01_F01"
1,122,5,"R01_F05"
1,123,2,"R01_F02"
1,124,2,"R01_F02"
1,125,2,"R01_F02"
1,126,5,"R01_F05"
1,127,4,"R01_F04"
1,128,4,"R01_F04"
1,129,1,"R01_F01"
1,130,3,"R01_F03"
1,131,3,"R01_F03"
1,132,5,"R01_F05"
1,133,4,"R01_F04"
1,134,2,"R01_F02"
1,135,2,"R01_F02"
1,136,4,"R01_F04"
1,137,2,"R01_F02"
1,138,5,"R01_F05"
1,139,2,"R01_F02"
1,140,2,"R01_F02"
1,141,3,"R01_F03"
1,142,4,"R01_F04"
1,143,2,"R01_F02"
1,144,2,"R01_F02"
1,145,4,"R01_F04"
1,146,3,"R01_F03"
1,147,2,"R01_F02"
1,148,3,"R01_F03"
1,149,3,"R01_F03"
1,150,3,"R01_F03"
1,151,4,"R01_F04"
1,152,4,"R01_F04"
1,153,1,"R01_F01"
1,154,1,"R01_F01"
1,155,3,"R01_F03"
1,156,5,"R01_F05"
1,157,4,"R01_F04"
1,158,5,"R01_F05"
1,159,1,"R01_F01"
1,160,3,"R01_F03"
1,161,2,"R01_F02"
1,162,2,"R01_F02"
