"Dataset","Scenario","QTL_N","H2_nominal","Repetition","Fold","SplitID","TaskID","Model","N_train","N_test","N_pred_finite","Genetic_Correlation","Genetic_RMSE","Genetic_MAE","Genetic_Bias","Genetic_Slope","Genetic_R2","GEBV_TrueG_Correlation","Phenotype_Correlation","Phenotype_RMSE","Phenotype_MAE","Phenotype_Bias","Phenotype_Slope","Phenotype_R2","Kernel_build_seconds","Fit_seconds","Predict_seconds","Status","Error"
"simulated","C1",8,0.7,1,1,"R01_F01","C1_R01_F01","GBLUP_ADE",800,200,200,0.734176519812927,1.35522136278815,1.1238068891306,0.0663019322850026,0.960977739508573,0.537018229272812,0.734176519812927,0.593771428984377,1.90071551388565,1.58293513789596,0.197227932285003,0.914627257879,0.342412364592036,5.17,16.15,0.0199999999999996,"ok",NA
"simulated","C1",8,0.7,1,2,"R01_F02","C1_R01_F02","GBLUP_ADE",800,200,200,0.732833784654434,1.32837814609874,1.09569373224826,0.0698167354915778,1.00000512158847,0.535762979856912,0.732833784654434,0.586536618053056,1.78697192322246,1.43619045552793,0.0859417354915777,0.90192166997333,0.338426828894389,5.17,13.73,0.0200000000000031,"ok",NA
"simulated","C1",8,0.7,1,3,"R01_F03","C1_R01_F03","GBLUP_ADE",800,200,200,0.752781896449799,1.33421375593976,1.09370635528567,-0.146349216515957,1.11748726033063,0.555063449330203,0.752781896449799,0.670835409254106,1.79809348598841,1.42094876660892,-0.248331216515957,1.18392371872956,0.42825400118518,5.17,11.51,0.0500000000000043,"ok",NA
"simulated","C1",8,0.7,1,4,"R01_F04","C1_R01_F04","GBLUP_ADE",800,200,200,0.728165000381177,1.3185118250119,1.0584515695638,-0.0932498050012333,0.969643836057427,0.527340439613256,0.728165000381176,0.576850935186877,1.85329566268389,1.4724304221663,-0.210225805001233,0.900113420062961,0.319908390634027,5.17,9.86,0.00999999999999801,"ok",NA
"simulated","C1",8,0.7,1,5,"R01_F05","C1_R01_F05","GBLUP_ADE",800,200,200,0.745851449321181,1.25347644910037,1.00749846070777,0.144596292834003,1.03305925408676,0.54973296387772,0.745851449321181,0.64350441823784,1.74382012345481,1.37857560916069,0.216496792834003,1.07666995170774,0.402793073477079,5.17,9.81,0.129999999999995,"ok",NA
"simulated","C1",8,0.7,2,1,"R02_F01","C1_R02_F01","GBLUP_ADE",800,200,200,0.765360115971163,1.285584106648,1.02621819276373,0.0263290219352114,1.07714176010275,0.582596581758416,0.765360115971163,0.673202463733623,1.7610718258867,1.37660327125014,0.126669021935211,1.12524961513017,0.4447138120864,5.17,11.06,0.0300000000000011,"ok",NA
"simulated","C1",8,0.7,2,2,"R02_F02","C1_R02_F02","GBLUP_ADE",800,200,200,0.72631422936714,1.39309012891406,1.112282167108,0.133551721182006,0.987949766409746,0.523070644264621,0.72631422936714,0.590345429850793,1.8533541402742,1.446718861331,0.0527142211820052,0.91137407887465,0.344681939885352,5.17,10.33,0.0300000000000011,"ok",NA
"simulated","C1",8,0.7,2,3,"R02_F03","C1_R02_F03","GBLUP_ADE",800,200,200,0.750175850581112,1.2971893406294,1.03458887679078,-0.237411751511426,1.11258263911506,0.541648276191305,0.750175850581112,0.628641982807986,1.80939241986348,1.47426892067178,-0.225119751511426,1.11918377499847,0.381129174065795,5.17,10.58,0.0100000000000051,"ok",NA
"simulated","C1",8,0.7,2,4,"R02_F04","C1_R02_F04","GBLUP_ADE",800,200,200,0.727724027977396,1.29217802733499,1.06678943244833,-0.00856734222925553,0.887976699261413,0.521132773882125,0.727724027977396,0.590388312922058,1.77454378353087,1.41593199934757,0.0142591577707447,0.840084505163288,0.335885267574869,5.17,11.02,0.0300000000000011,"ok",NA
"simulated","C1",8,0.7,2,5,"R02_F05","C1_R02_F05","GBLUP_ADE",800,200,200,0.72723370090443,1.31286982900234,1.06973964968529,0.0984327315758854,1.05355538156928,0.524831201734039,0.72723370090443,0.606289586025594,1.83109228793842,1.50960920646409,0.0438052315758853,1.06057166115202,0.366025231985192,5.17,9.77,0.0100000000000051,"ok",NA
"simulated","C1",8,0.7,3,1,"R03_F01","C1_R03_F01","GBLUP_ADE",800,200,200,0.776230573460957,1.31137621663136,1.097209991552,0.0416660478365115,1.11203801133468,0.596009993922501,0.776230573460957,0.628992136861409,1.85896051280693,1.54999404841323,0.0667370478365114,1.0431062852745,0.394174667254534,5.17,9.12999999999998,0.0400000000000205,"ok",NA
"simulated","C1",8,0.7,3,2,"R03_F02","C1_R03_F02","GBLUP_ADE",800,200,200,0.762230803744723,1.30609612565912,1.04404435252726,0.0182498846430195,0.972718480949255,0.580456865779285,0.762230803744723,0.588539414340863,1.7522654410167,1.40515223268235,0.0149558846430199,0.793075474854707,0.322749185678136,5.17,10.63,0.0300000000000011,"ok",NA
"simulated","C1",8,0.7,3,3,"R03_F03","C1_R03_F03","GBLUP_ADE",800,200,200,0.675386734536328,1.38661558677275,1.12829308929234,-0.0492703359245429,0.906328826235366,0.450581128374608,0.675386734536328,0.605487503142453,1.77518539067534,1.41237924541562,-0.0517783359245426,0.968105822241549,0.365677545749652,5.17,9.59,0,"ok",NA
"simulated","C1",8,0.7,3,4,"R03_F04","C1_R03_F04","GBLUP_ADE",800,200,200,0.720460230548296,1.3587739863324,1.13227312357934,0.0185248775888981,1.0395666771915,0.518221469261943,0.720460230548296,0.625399480808767,1.84943648502185,1.45577648631351,0.0469158775888973,1.08984760991762,0.38807246970264,5.17,10.71,0.0300000000000011,"ok",NA
"simulated","C1",8,0.7,3,5,"R03_F05","C1_R03_F05","GBLUP_ADE",800,200,200,0.702910966211445,1.29786612071375,1.04811136344384,-0.15450367777485,0.957470621468283,0.485822295454107,0.702910966211445,0.556943946360406,1.9451755911625,1.53346363821298,-0.20217017777485,0.976202383208452,0.302467259745763,5.17,9.78,0.0300000000000011,"ok",NA
"simulated","C1",8,0.7,4,1,"R04_F01","C1_R04_F01","GBLUP_ADE",800,200,200,0.710826232770427,1.37223166401323,1.09957764391054,0.015453798651528,1.04852353194738,0.50412892299639,0.710826232770427,0.614808597805214,1.68603247813492,1.33238252305652,-0.0090032013484722,0.994876207711303,0.377961849046582,5.17,10.05,0.00999999999999091,"ok",NA
"simulated","C1",8,0.7,4,2,"R04_F02","C1_R04_F02","GBLUP_ADE",800,200,200,0.777806899943255,1.29162485632563,1.04127329402022,0.0385050543374974,1.13835852434446,0.595687140545161,0.777806899943255,0.688706892366133,1.79752630526786,1.44463784592076,0.0461040543374974,1.21303685662645,0.459331975028385,5.17,10.6,0.140000000000015,"ok",NA
"simulated","C1",8,0.7,4,3,"R04_F03","C1_R04_F03","GBLUP_ADE",800,200,200,0.711084989948598,1.36030877937992,1.09822922848167,0.0358868731156569,0.992666735543017,0.505269946098014,0.711084989948598,0.587522455678536,1.99651800625667,1.59795637274762,0.0430573731156569,1.04555763115178,0.344222279175263,5.17,12.47,0.0300000000000011,"ok",NA
"simulated","C1",8,0.7,4,4,"R04_F04","C1_R04_F04","GBLUP_ADE",800,200,200,0.745053592872866,1.27028522525021,1.03867919942786,-0.140687426594424,0.956283290686123,0.548405428242374,0.745053592872866,0.621569848074938,1.67969086599247,1.33289910734059,-0.0635389265944235,0.900889289082517,0.380786980211369,5.17,12.36,0.0100000000000193,"ok",NA
"simulated","C1",8,0.7,4,5,"R04_F05","C1_R04_F05","GBLUP_ADE",800,200,200,0.692911350609673,1.39378809102481,1.16628021690221,0.0272358377638473,0.825764515022129,0.458543894298292,0.692911350609673,0.541171922651121,1.91973662581293,1.57104757410628,-0.0402316622361525,0.761871334525739,0.263932936881232,5.17,13.7,0.150000000000006,"ok",NA
"simulated","C1",8,0.7,5,1,"R05_F01","C1_R05_F01","GBLUP_ADE",800,200,200,0.649344191938164,1.49220483459114,1.18333915170524,-0.00282607700382442,0.882888682178985,0.414226942760243,0.649344191938165,0.536394372545499,1.95341463436428,1.54081275636644,-0.043341077003824,0.861077085832244,0.279875278129999,5.17,13.98,0.0300000000000011,"ok",NA
"simulated","C1",8,0.7,5,2,"R05_F02","C1_R05_F02","GBLUP_ADE",800,200,200,0.706878211177248,1.31440086944167,1.08335123039009,0.124629425903724,0.989448147519925,0.495080481308166,0.706878211177248,0.567894712503308,1.89779510347311,1.49181077088344,0.172167425903724,0.986693496882893,0.316823159675661,5.17,14.2,0.0299999999999727,"ok",NA
"simulated","C1",8,0.7,5,3,"R05_F03","C1_R05_F03","GBLUP_ADE",800,200,200,0.747082332964465,1.38891135823394,1.14036620869497,-0.036071827015924,1.15582374226015,0.547682646489399,0.747082332964466,0.665566565276402,1.81288529626381,1.46558350565497,-0.025457327015924,1.1980745030105,0.43075860185277,5.17,10.27,0.0100000000000477,"ok",NA
"simulated","C1",8,0.7,5,4,"R05_F04","C1_R05_F04","GBLUP_ADE",800,200,200,0.776111349160268,1.25579119785176,1.00015744119768,-0.0965311217055955,1.09352958246133,0.595552613733092,0.776111349160268,0.660277843432314,1.7441751677677,1.42504385000729,-0.0909291217055958,1.08982409010204,0.431460023779468,5.17,11.16,0.120000000000005,"ok",NA
"simulated","C1",8,0.7,5,5,"R05_F05","C1_R05_F05","GBLUP_ADE",800,200,200,0.765529468213748,1.1844762057558,0.953287339397923,0.0197780992679361,0.974911840408901,0.585531718180011,0.765529468213748,0.607515322767087,1.66511374817814,1.33439580650068,-0.00346790073206428,0.876443882749993,0.361737189586502,5.17,13.05,0.0500000000000114,"ok",NA
"simulated","C2",40,0.7,1,1,"R01_F01","C2_R01_F01","GBLUP_ADE",800,200,200,0.772725456969549,0.57623315918739,0.450499472023348,0.0195322090981998,1.00972851036966,0.596585694933081,0.772725456969549,0.684836784398896,0.821026339911419,0.617987993481264,0.0242842090982006,1.10636571533027,0.464197764661403,5.17,13.97,0.0300000000000296,"ok",NA
"simulated","C2",40,0.7,1,2,"R01_F02","C2_R01_F02","GBLUP_ADE",800,200,200,0.791276173357061,0.601763707668548,0.484030208228089,-0.0204690706044661,0.912598686762313,0.619935321302695,0.791276173357061,0.690797163372587,0.784639470341901,0.632465286914373,0.0279314293955343,0.877397337560399,0.467207875150504,5.17,12.36,0.140000000000043,"ok",NA
"simulated","C2",40,0.7,1,3,"R01_F03","C2_R01_F03","GBLUP_ADE",800,200,200,0.775041068392139,0.648068707866998,0.515204209220698,0.0468437648130809,1.18207872549065,0.584264589718767,0.775041068392139,0.676012862833791,0.828727359881638,0.637284872564155,0.0353867648130802,1.14490405068677,0.448667780273599,5.17,16.11,0.0300000000000296,"ok",NA
"simulated","C2",40,0.7,1,4,"R01_F04","C2_R01_F04","GBLUP_ADE",800,200,200,0.73220022242975,0.643224106318813,0.518306421069574,0.0803647403845552,0.935418879802306,0.526165144643072,0.73220022242975,0.598707422592302,0.836422533110261,0.673573225777321,0.044153240384556,0.845763593979063,0.344703741323683,5.17,16.92,0.0299999999999727,"ok",NA
"simulated","C2",40,0.7,1,5,"R01_F05","C2_R01_F05","GBLUP_ADE",800,200,200,0.782117272506961,0.592031675248458,0.489057929501641,-0.0683326133549478,1.06679482403488,0.604034311002784,0.782117272506961,0.669603289242586,0.757655211715676,0.609245870702807,-0.0738061133549483,0.98548222993773,0.442985493285455,5.17,14.88,0.0300000000000296,"ok",NA
